Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
39,All cancers,903,Africa,0,0,1109209,2020,1109209,0,0,0
39,All cancers,903,Africa,0,0,1109209,2025,1300771,191562,17.2701,0
39,All cancers,903,Africa,0,0,1109209,2030,1527194,417985,37.6832,0
39,All cancers,903,Africa,0,0,1109209,2035,1791960,682751,61.553,0
39,All cancers,903,Africa,0,0,1109209,2040,2097365,988156,89.0865,0
39,All cancers,904,Latin America and Caribbean,0,0,1470274,2020,1470274,0,0,0
39,All cancers,904,Latin America and Caribbean,0,0,1470274,2025,1688680,218406,14.8548,0
39,All cancers,904,Latin America and Caribbean,0,0,1470274,2030,1925663,455389,30.9731,0
39,All cancers,904,Latin America and Caribbean,0,0,1470274,2035,2177249,706975,48.0846,0
39,All cancers,904,Latin America and Caribbean,0,0,1470274,2040,2435315,965041,65.6368,0
39,All cancers,905,Northern America,0,0,2556862,2020,2556862,0,0,0
39,All cancers,905,Northern America,0,0,2556862,2025,2815471,258609,10.1143,0
39,All cancers,905,Northern America,0,0,2556862,2030,3070906,514044,20.1045,0
39,All cancers,905,Northern America,0,0,2556862,2035,3317886,761024,29.764,0
39,All cancers,905,Northern America,0,0,2556862,2040,3525597,968735,37.8877,0
39,All cancers,908,Europe,0,0,4398443,2020,4398443,0,0,0
39,All cancers,908,Europe,0,0,4398443,2025,4662744,264301,6.009,0
39,All cancers,908,Europe,0,0,4398443,2030,4913808,515365,11.717,0
39,All cancers,908,Europe,0,0,4398443,2035,5142033,743590,16.9058,0
39,All cancers,908,Europe,0,0,4398443,2040,5323141,924698,21.0233,0
39,All cancers,909,Oceania,0,0,254291,2020,254291,0,0,0
39,All cancers,909,Oceania,0,0,254291,2025,284914,30623,12.0425,0
39,All cancers,909,Oceania,0,0,254291,2030,316180,61889,24.3379,0
39,All cancers,909,Oceania,0,0,254291,2035,346793,92502,36.3764,0
39,All cancers,909,Oceania,0,0,254291,2040,375744,121453,47.7614,0
39,All cancers,935,Asia,0,0,9503710,2020,9503710,0,0,0
39,All cancers,935,Asia,0,0,9503710,2025,10865865,1362155,14.3329,0
39,All cancers,935,Asia,0,0,9503710,2030,12290655,2786945,29.3248,0
39,All cancers,935,Asia,0,0,9503710,2035,13738601,4234891,44.5604,0
39,All cancers,935,Asia,0,0,9503710,2040,15130778,5627068,59.2092,0
